Name,Type1,Type2
dratini,Dragon,na
dragonair,Dragon,na
dragonite,Dragon,Flying
mewtwo,Psychic,na
mew,Psychic,na
chikorita,Grass,na
bayleef,Grass,na
meganium,Grass,na
cyndaquil,Fire,na
quilava,Fire,na
typhlosion,Fire,na
totodile,Water,na
croconaw,Water,na
feraligatr,Water,na
sentret,Normal,na
furret,Normal,na
hoothoot,Normal,Flying
noctowl,Normal,Flying
ledyba,Bug,Flying
ledian,Bug,Flying
spinarak,Bug,Poison
ariados,Bug,Poison
crobat,Poison,Flying
chinchou,Water,Electric
lanturn,Water,Electric
pichu,Electric,na
cleffa,Fairy,na
igglybuff,Normal,Fairy
togepi,Fairy,na
togetic,Fairy,Flying
natu,Psychic,Flying
xatu,Psychic,Flying
mareep,Electric,na
flaaffy,Electric,na
ampharos,Electric,na
bellossom,Grass,na
marill,Water,Fairy
azumarill,Water,Fairy
sudowoodo,Rock,na
politoed,Water,na
hoppip,Grass,Flying
skiploom,Grass,Flying
jumpluff,Grass,Flying
aipom,Normal,na
sunkern,Grass,na
sunflora,Grass,na
yanma,Bug,Flying
wooper,Water,Ground
quagsire,Water,Ground
espeon,Psychic,na
umbreon,Dark,na
murkrow,Dark,Flying
slowking,Water,Psychic
misdreavus,Ghost,na
unown,Psychic,na
wobbuffet,Psychic,na
girafarig,Normal,Psychic
pineco,Bug,na
forretress,Bug,Steel
dunsparce,Normal,na
gligar,Ground,Flying
steelix,Steel,Ground
snubbull,Fairy,na
granbull,Fairy,na
qwilfish,Water,Poison
scizor,Bug,Steel
shuckle,Bug,Rock
heracross,Bug,Fighting
sneasel,Dark,Ice
teddiursa,Normal,na
ursaring,Normal,na
slugma,Fire,na
magcargo,Fire,Rock
swinub,Ice,Ground
piloswine,Ice,Ground
corsola,Water,Rock
remoraid,Water,na
octillery,Water,na
delibird,Ice,Flying
mantine,Water,Flying
skarmory,Steel,Flying
houndour,Dark,Fire
houndoom,Dark,Fire
kingdra,Water,Dragon
phanpy,Ground,na
donphan,Ground,na
porygon2,Normal,na
stantler,Normal,na
smeargle,Normal,na
tyrogue,Fighting,na
hitmontop,Fighting,na
smoochum,Ice,Psychic
elekid,Electric,na
magby,Fire,na
miltank,Normal,na
blissey,Normal,na
raikou,Electric,na
entei,Fire,na
suicune,Water,na
larvitar,Rock,Ground
pupitar,Rock,Ground
tyranitar,Rock,Dark
lugia,Psychic,Flying
ho-oh,Fire,Flying
celebi,Psychic,Grass
treecko,Grass,na
grovyle,Grass,na
sceptile,Grass,na
torchic,Fire,na
combusken,Fire,Fighting
blaziken,Fire,Fighting
mudkip,Water,na
marshtomp,Water,Ground
swampert,Water,Ground
poochyena,Dark,na
mightyena,Dark,na
zigzagoon,Normal,na
linoone,Normal,na
wurmple,Bug,na
silcoon,Bug,na
beautifly,Bug,Flying
cascoon,Bug,na
dustox,Bug,Poison
lotad,Water,Grass
lombre,Water,Grass
ludicolo,Water,Grass
seedot,Grass,na
nuzleaf,Grass,Dark
shiftry,Grass,Dark
taillow,Normal,Flying
swellow,Normal,Flying
wingull,Water,Flying
pelipper,Water,Flying
ralts,Psychic,Fairy
kirlia,Psychic,Fairy
gardevoir,Psychic,Fairy
surskit,Bug,Water
masquerain,Bug,Flying
shroomish,Grass,na
breloom,Grass,Fighting
slakoth,Normal,na
vigoroth,Normal,na
slaking,Normal,na
nincada,Bug,Ground
ninjask,Bug,Flying
shedinja,Bug,Ghost
whismur,Normal,na
loudred,Normal,na
exploud,Normal,na
makuhita,Fighting,na
hariyama,Fighting,na
azurill,Normal,Fairy
nosepass,Rock,na
skitty,Normal,na
delcatty,Normal,na
sableye,Dark,Ghost
mawile,Steel,Fairy
aron,Steel,Rock
lairon,Steel,Rock
aggron,Steel,Rock
meditite,Fighting,Psychic
medicham,Fighting,Psychic
electrike,Electric,na
manectric,Electric,na
plusle,Electric,na
minun,Electric,na
volbeat,Bug,na
illumise,Bug,na
roselia,Grass,Poison
gulpin,Poison,na
swalot,Poison,na
carvanha,Water,Dark
sharpedo,Water,Dark
wailmer,Water,na
wailord,Water,na
numel,Fire,Ground
camerupt,Fire,Ground
torkoal,Fire,na
spoink,Psychic,na
grumpig,Psychic,na
spinda,Normal,na
trapinch,Ground,na
vibrava,Ground,Dragon
flygon,Ground,Dragon
cacnea,Grass,na
cacturne,Grass,Dark
swablu,Normal,Flying
altaria,Dragon,Flying
zangoose,Normal,na
seviper,Poison,na
lunatone,Rock,Psychic
solrock,Rock,Psychic
barboach,Water,Ground
whiscash,Water,Ground
corphish,Water,na
crawdaunt,Water,Dark
baltoy,Ground,Psychic
claydol,Ground,Psychic
lileep,Rock,Grass
cradily,Rock,Grass
anorith,Rock,Bug
armaldo,Rock,Bug
feebas,Water,na
milotic,Water,na
castform,Normal,na
kecleon,Normal,na
shuppet,Ghost,na
banette,Ghost,na
duskull,Ghost,na
dusclops,Ghost,na
tropius,Grass,Flying
chimecho,Psychic,na
absol,Dark,na
wynaut,Psychic,na
snorunt,Ice,na
glalie,Ice,na
spheal,Ice,Water
sealeo,Ice,Water
walrein,Ice,Water
clamperl,Water,na
huntail,Water,na
gorebyss,Water,na
relicanth,Water,Rock
luvdisc,Water,na
bagon,Dragon,na
shelgon,Dragon,na
salamence,Dragon,Flying
beldum,Steel,Psychic
metang,Steel,Psychic
metagross,Steel,Psychic
regirock,Rock,na
regice,Ice,na
registeel,Steel,na
latias,Dragon,Psychic
latios,Dragon,Psychic
kyogre,Water,na
groudon,Ground,na
rayquaza,Dragon,Flying
jirachi,Steel,Psychic
deoxys-normal,Psychic,na
turtwig,Grass,na
grotle,Grass,na
torterra,Grass,Ground
chimchar,Fire,na
monferno,Fire,Fighting
infernape,Fire,Fighting
piplup,Water,na
prinplup,Water,na
empoleon,Water,Steel
starly,Normal,Flying
staravia,Normal,Flying
staraptor,Normal,Flying
bidoof,Normal,na
bibarel,Normal,Water
kricketot,Bug,na
kricketune,Bug,na
shinx,Electric,na
luxio,Electric,na
luxray,Electric,na
budew,Grass,Poison
roserade,Grass,Poison
cranidos,Rock,na
rampardos,Rock,na
shieldon,Rock,Steel
bastiodon,Rock,Steel
burmy,Bug,na
wormadam-plant,Bug,Grass
mothim,Bug,Flying
combee,Bug,Flying
vespiquen,Bug,Flying
pachirisu,Electric,na
buizel,Water,na
floatzel,Water,na
cherubi,Grass,na
cherrim,Grass,na
shellos,Water,na
gastrodon,Water,Ground
ambipom,Normal,na
drifloon,Ghost,Flying
drifblim,Ghost,Flying
buneary,Normal,na
lopunny,Normal,na
mismagius,Ghost,na
honchkrow,Dark,Flying
glameow,Normal,na
purugly,Normal,na
chingling,Psychic,na
stunky,Poison,Dark
skuntank,Poison,Dark
bronzor,Steel,Psychic
bronzong,Steel,Psychic
bonsly,Rock,na
mime-jr,Psychic,Fairy
happiny,Normal,na
chatot,Normal,Flying
spiritomb,Ghost,Dark
gible,Dragon,Ground
gabite,Dragon,Ground
garchomp,Dragon,Ground
munchlax,Normal,na
riolu,Fighting,na
lucario,Fighting,Steel
hippopotas,Ground,na
hippowdon,Ground,na
skorupi,Poison,Bug
drapion,Poison,Dark
croagunk,Poison,Fighting
toxicroak,Poison,Fighting
carnivine,Grass,na
finneon,Water,na
lumineon,Water,na
mantyke,Water,Flying
snover,Grass,Ice
abomasnow,Grass,Ice
weavile,Dark,Ice
magnezone,Electric,Steel
lickilicky,Normal,na
rhyperior,Ground,Rock
tangrowth,Grass,na
electivire,Electric,na
magmortar,Fire,na
togekiss,Fairy,Flying
yanmega,Bug,Flying
leafeon,Grass,na
glaceon,Ice,na
gliscor,Ground,Flying
mamoswine,Ice,Ground
porygon-z,Normal,na
gallade,Psychic,Fighting
probopass,Rock,Steel
dusknoir,Ghost,na
froslass,Ice,Ghost
rotom,Electric,Ghost
uxie,Psychic,na
mesprit,Psychic,na
azelf,Psychic,na
dialga,Steel,Dragon
palkia,Water,Dragon
heatran,Fire,Steel
regigigas,Normal,na
giratina-altered,Ghost,Dragon
cresselia,Psychic,na
phione,Water,na
manaphy,Water,na
darkrai,Dark,na
shaymin-land,Grass,na
arceus,Normal,na
victini,Psychic,Fire
snivy,Grass,na
servine,Grass,na
serperior,Grass,na
tepig,Fire,na
pignite,Fire,Fighting
emboar,Fire,Fighting
oshawott,Water,na
dewott,Water,na
samurott,Water,na
patrat,Normal,na
watchog,Normal,na
lillipup,Normal,na
herdier,Normal,na
stoutland,Normal,na
purrloin,Dark,na
liepard,Dark,na
pansage,Grass,na
simisage,Grass,na
pansear,Fire,na
simisear,Fire,na
panpour,Water,na
simipour,Water,na
munna,Psychic,na
musharna,Psychic,na
pidove,Normal,Flying
tranquill,Normal,Flying
unfezant,Normal,Flying
blitzle,Electric,na
zebstrika,Electric,na
roggenrola,Rock,na
boldore,Rock,na
gigalith,Rock,na
woobat,Psychic,Flying
swoobat,Psychic,Flying
drilbur,Ground,na
excadrill,Ground,Steel
audino,Normal,na
timburr,Fighting,na
gurdurr,Fighting,na
conkeldurr,Fighting,na
tympole,Water,na
palpitoad,Water,Ground
seismitoad,Water,Ground
throh,Fighting,na
sawk,Fighting,na
sewaddle,Bug,Grass
swadloon,Bug,Grass
leavanny,Bug,Grass
venipede,Bug,Poison
whirlipede,Bug,Poison
scolipede,Bug,Poison
cottonee,Grass,Fairy
whimsicott,Grass,Fairy
petilil,Grass,na
lilligant,Grass,na
basculin-red-striped,Water,na
sandile,Ground,Dark
krokorok,Ground,Dark
krookodile,Ground,Dark
darumaka,Fire,na
darmanitan-standard,Fire,na
maractus,Grass,na
dwebble,Bug,Rock
crustle,Bug,Rock
scraggy,Dark,Fighting
scrafty,Dark,Fighting
sigilyph,Psychic,Flying
yamask,Ghost,na
cofagrigus,Ghost,na
tirtouga,Water,Rock
carracosta,Water,Rock
archen,Rock,Flying
archeops,Rock,Flying
trubbish,Poison,na
garbodor,Poison,na
zorua,Dark,na
zoroark,Dark,na
minccino,Normal,na
cinccino,Normal,na
gothita,Psychic,na
gothorita,Psychic,na
gothitelle,Psychic,na
solosis,Psychic,na
duosion,Psychic,na
reuniclus,Psychic,na
ducklett,Water,Flying
swanna,Water,Flying
vanillite,Ice,na
vanillish,Ice,na
vanilluxe,Ice,na
deerling,Normal,Grass
sawsbuck,Normal,Grass
emolga,Electric,Flying
karrablast,Bug,na
escavalier,Bug,Steel
foongus,Grass,Poison
amoonguss,Grass,Poison
frillish,Water,Ghost
jellicent,Water,Ghost
alomomola,Water,na
joltik,Bug,Electric
galvantula,Bug,Electric
ferroseed,Grass,Steel
ferrothorn,Grass,Steel
klink,Steel,na
klang,Steel,na
klinklang,Steel,na
tynamo,Electric,na
eelektrik,Electric,na
eelektross,Electric,na
elgyem,Psychic,na
beheeyem,Psychic,na
litwick,Ghost,Fire
lampent,Ghost,Fire
chandelure,Ghost,Fire
axew,Dragon,na
fraxure,Dragon,na
haxorus,Dragon,na
cubchoo,Ice,na
beartic,Ice,na
cryogonal,Ice,na
shelmet,Bug,na
accelgor,Bug,na
stunfisk,Ground,Electric
mienfoo,Fighting,na
mienshao,Fighting,na
druddigon,Dragon,na
golett,Ground,Ghost
golurk,Ground,Ghost
pawniard,Dark,Steel
bisharp,Dark,Steel
bouffalant,Normal,na
rufflet,Normal,Flying
braviary,Normal,Flying
vullaby,Dark,Flying
mandibuzz,Dark,Flying
heatmor,Fire,na
durant,Bug,Steel
deino,Dark,Dragon
zweilous,Dark,Dragon
hydreigon,Dark,Dragon
larvesta,Bug,Fire
volcarona,Bug,Fire
cobalion,Steel,Fighting
terrakion,Rock,Fighting
virizion,Grass,Fighting
tornadus-incarnate,Flying,na
thundurus-incarnate,Electric,Flying
reshiram,Dragon,Fire
zekrom,Dragon,Electric
landorus-incarnate,Ground,Flying
kyurem,Dragon,Ice
keldeo-ordinary,Water,Fighting
meloetta-aria,Normal,Psychic
genesect,Bug,Steel
chespin,Grass,na
quilladin,Grass,na
chesnaught,Grass,Fighting
fennekin,Fire,na
braixen,Fire,na
delphox,Fire,Psychic
froakie,Water,na
frogadier,Water,na
greninja,Water,Dark
bunnelby,Normal,na
diggersby,Normal,Ground
fletchling,Normal,Flying
fletchinder,Fire,Flying
talonflame,Fire,Flying
scatterbug,Bug,na
spewpa,Bug,na
vivillon,Bug,Flying
litleo,Fire,Normal
pyroar,Fire,Normal
flabebe,Fairy,na
floette,Fairy,na
florges,Fairy,na
skiddo,Grass,na
gogoat,Grass,na
pancham,Fighting,na
pangoro,Fighting,Dark
furfrou,Normal,na
espurr,Psychic,na
meowstic-male,Psychic,na
honedge,Steel,Ghost
doublade,Steel,Ghost
aegislash-blade,Steel,Ghost
spritzee,Fairy,na
aromatisse,Fairy,na
swirlix,Fairy,na
slurpuff,Fairy,na
inkay,Dark,Psychic
malamar,Dark,Psychic
binacle,Rock,Water
barbaracle,Rock,Water
skrelp,Poison,Water
dragalge,Poison,Dragon
clauncher,Water,na
clawitzer,Water,na
helioptile,Electric,Normal
heliolisk,Electric,Normal
tyrunt,Rock,Dragon
tyrantrum,Rock,Dragon
amaura,Rock,Ice
aurorus,Rock,Ice
sylveon,Fairy,na
hawlucha,Fighting,Flying
dedenne,Electric,Fairy
carbink,Rock,Fairy
goomy,Dragon,na
sliggoo,Dragon,na
goodra,Dragon,na
klefki,Steel,Fairy
phantump,Ghost,Grass
trevenant,Ghost,Grass
pumpkaboo-average,Ghost,Grass
gourgeist-average,Ghost,Grass
bergmite,Ice,na
avalugg,Ice,na
noibat,Flying,Dragon
noivern,Flying,Dragon
xerneas,Fairy,na
yveltal,Dark,Flying
zygarde-50,Dragon,Ground
diancie,Rock,Fairy
hoopa-confined,Psychic,Ghost
volcanion,Fire,Water
